Name,Count,Lat,Lng
United States,252,37.09024,-95.712891
China,66,35.86166,104.195397
Japan,30,36.204824,138.252924
United Kingdom,29,55.378051,-3.435973
France,23,46.227638,2.213749
Germany,19,51.165691,10.451526
India,11,20.593684,78.96288
Canada,9,56.130366,-106.346771
Russia,8,61.52401,105.318756
Sweden,7,60.128161,18.643501
Italy,6,41.87194,12.56738
Australia,5,-25.274398,133.775136
Switzerland,4,46.818188,8.227512
South Korea,4,35.907757,127.766922
Saudi Arabia,4,23.885942,45.079162
Spain,3,40.463667,-3.74922
Poland,3,51.919438,19.145136
Norway,3,60.472024,8.468946
Brazil,3,-14.235004,-51.92528
Netherlands,2,52.132633,5.291266
Israel,2,31.046051,34.851612
Finland,2,61.92411,25.7481511
Taiwan,1,23.69781,120.960515
Hong Kong,1,22.396428,114.109497
Denmark,1,56.26392,9.501785
Belgium,1,50.503887,4.469936
Austria,1,47.516231,14.550072
