Name,Count,Lat,Lng
China,168,35.86166,104.195397
United States,165,37.09024,-95.712891
Japan,29,36.204824,138.252924
Germany,26,51.165691,10.451526
France,18,46.227638,2.213749
United Kingdom,11,55.378051,-3.435973
India,9,20.593684,78.96288
South Korea,7,35.907757,127.766922
Russia,7,61.52401,105.318756
Poland,6,51.919438,19.145136
Sweden,5,60.128161,18.643501
Saudi Arabia,5,23.885942,45.079162
Italy,5,41.87194,12.56738
Finland,5,61.92411,25.7481511
Austria,5,47.516231,14.550072
Australia,5,-25.274398,133.775136
Brazil,4,-14.235004,-51.92528
Switzerland,3,46.818188,8.227512
Netherlands,3,52.132633,5.291266
Ireland,3,53.1423672,-7.6920536
Denmark,2,56.26392,9.501785
Belgium,2,50.503887,4.469936
Spain,1,40.463667,-3.74922
South Africa,1,-30.559482,22.937506
Singapore,1,1.352083,103.819836
Norway,1,60.472024,8.468946
New Zealand,1,-40.900557,174.885971
Czech Republic,1,49.817492,15.472962
Canada,1,56.130366,-106.346771
