Name,Count,Lat,Lng
United States,298,37.09024,-95.712891
United Kingdom,35,55.378051,-3.435973
Japan,29,36.204824,138.252924
China,28,35.86166,104.195397
Germany,17,51.165691,10.451526
India,11,20.593684,78.96288
Israel,9,31.046051,34.851612
Canada,9,56.130366,-106.346771
Australia,9,-25.274398,133.775136
France,8,46.227638,2.213749
Italy,7,41.87194,12.56738
Switzerland,4,46.818188,8.227512
South Korea,4,35.907757,127.766922
Saudi Arabia,4,23.885942,45.079162
Brazil,4,-14.235004,-51.92528
Taiwan,3,23.69781,120.960515
Netherlands,3,52.132633,5.291266
Mexico,3,23.634501,-102.552784
Singapore,2,1.352083,103.819836
New Zealand,2,-40.900557,174.885971
Ireland,2,53.1423672,-7.6920536
Belgium,2,50.503887,4.469936
Sweden,1,60.128161,18.643501
Spain,1,40.463667,-3.74922
South Africa,1,-30.559482,22.937506
Russia,1,61.52401,105.318756
Malaysia,1,4.210484,101.975766
Denmark,1,56.26392,9.501785
Belarus,1,53.709807,27.953389
