Name,Count,Lat,Lng
United States,233,37.09024,-95.712891
Japan,40,36.204824,138.252924
Germany,37,51.165691,10.451526
China,37,35.86166,104.195397
United Kingdom,29,55.378051,-3.435973
France,27,46.227638,2.213749
India,11,20.593684,78.96288
South Korea,9,35.907757,127.766922
Russia,8,61.52401,105.318756
Saudi Arabia,7,23.885942,45.079162
Poland,7,51.919438,19.145136
Switzerland,6,46.818188,8.227512
Canada,6,56.130366,-106.346771
Brazil,6,-14.235004,-51.92528
Australia,6,-25.274398,133.775136
Sweden,5,60.128161,18.643501
Italy,4,41.87194,12.56738
Netherlands,3,52.132633,5.291266
Spain,2,40.463667,-3.74922
Norway,2,60.472024,8.468946
Finland,2,61.92411,25.7481511
Denmark,2,56.26392,9.501785
Taiwan,1,23.69781,120.960515
Mexico,1,23.634501,-102.552784
Malaysia,1,4.210484,101.975766
Israel,1,31.046051,34.851612
Hungary,1,47.162494,19.5033041
Hong Kong,1,22.396428,114.109497
Greece,1,39.074208,21.824312
Czech Republic,1,49.817492,15.472962
Bulgaria,1,42.733883,25.48583
Belgium,1,50.503887,4.469936
Austria,1,47.516231,14.550072
