Name,Count,Lat,Lng
United States,232,37.09024,-95.712891
China,76,35.86166,104.195397
United Kingdom,30,55.378051,-3.435973
Japan,30,36.204824,138.252924
France,27,46.227638,2.213749
Germany,22,51.165691,10.451526
India,9,20.593684,78.96288
Canada,9,56.130366,-106.346771
South Korea,8,35.907757,127.766922
Switzerland,6,46.818188,8.227512
Australia,6,-25.274398,133.775136
Russia,5,61.52401,105.318756
Netherlands,5,52.132633,5.291266
Italy,5,41.87194,12.56738
Saudi Arabia,4,23.885942,45.079162
Brazil,4,-14.235004,-51.92528
Sweden,3,60.128161,18.643501
Norway,3,60.472024,8.468946
Spain,2,40.463667,-3.74922
Poland,2,51.919438,19.145136
Israel,2,31.046051,34.851612
Finland,2,61.92411,25.7481511
Belgium,2,50.503887,4.469936
Taiwan,1,23.69781,120.960515
Malaysia,1,4.210484,101.975766
Ireland,1,53.1423672,-7.6920536
Hong Kong,1,22.396428,114.109497
Denmark,1,56.26392,9.501785
Austria,1,47.516231,14.550072
