Name,Count,Lat,Lng
United States,252,37.09024,-95.712891
China,68,35.86166,104.195397
Japan,35,36.204824,138.252924
United Kingdom,25,55.378051,-3.435973
France,22,46.227638,2.213749
Germany,20,51.165691,10.451526
Canada,10,56.130366,-106.346771
Italy,8,41.87194,12.56738
Australia,6,-25.274398,133.775136
Russia,5,61.52401,105.318756
Poland,5,51.919438,19.145136
India,5,20.593684,78.96288
Sweden,4,60.128161,18.643501
Spain,4,40.463667,-3.74922
Taiwan,3,23.69781,120.960515
South Korea,3,35.907757,127.766922
Saudi Arabia,3,23.885942,45.079162
Norway,3,60.472024,8.468946
Israel,3,31.046051,34.851612
Ireland,3,53.1423672,-7.6920536
Brazil,3,-14.235004,-51.92528
Belgium,2,50.503887,4.469936
United Arab Emirates,1,23.424076,53.847818
Switzerland,1,46.818188,8.227512
South Africa,1,-30.559482,22.937506
Slovak Republic,1,48.669026,19.699024
Singapore,1,1.352083,103.819836
Finland,1,61.92411,25.7481511
Denmark,1,56.26392,9.501785
Austria,1,47.516231,14.550072
